Hortiboletus_235	mushroom_observer_373444_haplotype_1|ITS|ON705313.1
Hortiboletus_236	mich139893|ITS|OM985886.1
Hortiboletus_237	288|ITS|OM972559.1
Hortiboletus_238	243|ITS|OM972514.1
Hortiboletus_239	236|ITS|OM972507.1
Hortiboletus_240	235|ITS|OM972506.1
Hortiboletus_241	233|ITS|OM972504.1
Hortiboletus_242	150|ITS|OM972421.1
Hortiboletus_243	inat:34423971|ITS|OM522247.1
Hortiboletus_244	pul:pul00038197|ITS|OM747646.1
Hortiboletus_245	t1_1|ITS|MZ088076.1
Hortiboletus_246	le3126778|ITS|MW784162.1
Hortiboletus_247	le312677|ITS|MW784161.1
Hortiboletus_248	mushroom_observer_327820_mycoflora_54408|ITS|MW882072.1
Hortiboletus_249	nibrfg0000502792|ITS|MW578955.1
Hortiboletus_250	fhmu3325|ITS|MT646445.1
Hortiboletus_251	fhmu2113|ITS|MT646444.1
Hortiboletus_252	fhmu3329|ITS|MT646443.1
Hortiboletus_253	fhmu3328|ITS|MT646442.1
Hortiboletus_254	fhmu3327|ITS|MT646441.1
Hortiboletus_255	fhmu3326|ITS|MT646440.1
Hortiboletus_256	hal_bp_20|ITS|MT594509.1
Hortiboletus_257	dd614|ITS|MH168538.1
Hortiboletus_258	kr_m_0044351|ITS|MT005978.1
Hortiboletus_259	kr_m_0044799|ITS|MT006029.1
Hortiboletus_260	kr_m_0044796|ITS|MT006028.1
Hortiboletus_261	52a|ITS|MN652008.1
Hortiboletus_262	hfjau_nd154|ITS|MN622755.1
Hortiboletus_263	inat31879606|ITS|MN498119.1
Hortiboletus_264	jlf6662|ITS|MN306135.1
Hortiboletus_265	jlf6654|ITS|MN306134.1
Hortiboletus_266	alv16747|ITS|MK408628.1
Hortiboletus_267	ls15|ITS|MK002767.1
Hortiboletus_268	mushroom_observer_326548|ITS|MH802590.1
Hortiboletus_269	cal:dc_14_002|ITS|NR_154076.1
Hortiboletus_270	dc_14_002|ITS|KT319647.1
Hortiboletus_271	KX816643.1|ITS|KX816643.1
Hortiboletus_272	lah35030|ITS|KX907539.1
Hortiboletus_273	chl22|ITS|KX438318.1
Hortiboletus_274	lah0810|ITS|KJ802929.1
Hortiboletus_275	lah0710|ITS|KJ802928.1
Hortiboletus_276	jmp0013|ITS|EU819460.1
Hortiboletus_277	f:prl5991man|ITS|GQ166879.1
Hortiboletus_278	f:prl5575man|ITS|GQ166888.1
Hortiboletus_279	f:prl5788man|ITS|GQ166883.1
Hortiboletus_280	f:prl5879man|ITS|GQ166876.1
Hortiboletus_281	f:cdw33|ITS|GQ166873.1
