Xerocomellus_338	jlf6769|ITS|MN306137.1
Xerocomellus_339	jlf6718|ITS|MN306136.1
Xerocomellus_340	jlf6618|ITS|MN306133.1
Xerocomellus_341	jlf6607|ITS|MN306132.1
Xerocomellus_342	jlf6604|ITS|MN306131.1
Xerocomellus_343	jlf6570|ITS|MN306130.1
Xerocomellus_344	jlf6545|ITS|MN306129.1
Xerocomellus_345	montri_213|ITS|MK028527.1
Xerocomellus_346	sporocarp2_2018|ITS|MK674157.1
Xerocomellus_347	xerocomellus_salicicola_ucsc_f_1720|ITS|MK583671.1
Xerocomellus_348	inat_6716621_ucsc_f_1721|ITS|MK583542.1
Xerocomellus_349	bialowieza_16|ITS|MK583530.1
Xerocomellus_350	bialowieza_15|ITS|MK583529.1
Xerocomellus_351	jlf6546|ITS|MK552409.1
Xerocomellus_352	wa0000071100|ITS|MK028951.1
Xerocomellus_353	wa0000071097|ITS|MK028949.1
Xerocomellus_354	wa0000071096|ITS|MK028948.1
Xerocomellus_355	wa0000071091|ITS|MK028944.1
Xerocomellus_356	wa0000071029|ITS|MK028890.1
Xerocomellus_357	wa0000071022|ITS|MK028883.1
Xerocomellus_358	wa0000071016|ITS|MK028878.1
Xerocomellus_359	wa0000071003|ITS|MK028866.1
Xerocomellus_360	wa0000071002|ITS|MK028865.1
Xerocomellus_361	jlf5421|ITS|MK027296.1
Xerocomellus_362	stu:20121007gs10074|ITS|KX905051.1
Xerocomellus_363	am_ar17_009|ITS|MH930227.1
Xerocomellus_364	ml900101xe|ITS|MH011930.1
Xerocomellus_365	ml610102xr|ITS|MH011929.1
Xerocomellus_366	pam11112710|ITS|MH011926.1
Xerocomellus_367	ml6144xe|ITS|MH011845.1
Xerocomellus_368	ml411142xe|ITS|MH011842.1
Xerocomellus_369	ml51218xe|ITS|MH011840.1
Xerocomellus_370	ml511182xe|ITS|MH011839.1
Xerocomellus_371	ml21751xe|ITS|MH011838.1
Xerocomellus_372	ml1101x|ITS|MH011837.1
Xerocomellus_373	fbozok00136|ITS|MH472623.1
Xerocomellus_374	amb:18114|ITS|NR_155981.1
Xerocomellus_375	ah:44050|ITS|NR_155971.1
Xerocomellus_376	mushroom_observer_251634|ITS|MH173778.1
Xerocomellus_377	jlf4835|ITS|KY659592.1
Xerocomellus_378	jlf4821|ITS|KY659591.1
Xerocomellus_379	jlf4239|ITS|KY659590.1
Xerocomellus_380	jlf4664|ITS|KY659589.1
Xerocomellus_381	jlf4238|ITS|KY659588.1
Xerocomellus_382	jlf4665|ITS|KY659587.1
Xerocomellus_383	mcve:28577|ITS|NR_138006.1
Xerocomellus_384	1999/0901|ITS|KU721024.1
Xerocomellus_385	1999/1057|ITS|KU721023.1
Xerocomellus_386	ep02_a460|ITS|KU721022.1
Xerocomellus_387	ep_n400|ITS|KU721021.1
Xerocomellus_388	ep_n310|ITS|KU721020.1
Xerocomellus_389	ep05_n321|ITS|KU721019.1
Xerocomellus_390	ep04_n225|ITS|KU721018.1
Xerocomellus_391	hksa56495|ITS|KC215210.1
Xerocomellus_392	lmkr1154|ITS|MF352686.1
Xerocomellus_393	jlf4134|ITS|KX534076.1
Xerocomellus_394	jlf3996|ITS|KX534075.1
Xerocomellus_395	pngs/310|ITS|KX882680.1
Xerocomellus_396	pngs/309|ITS|KX882679.1
Xerocomellus_397	pngs/308|ITS|KX882678.1
Xerocomellus_398	pngs/307|ITS|KX882677.1
Xerocomellus_399	amb_18114|ITS|KX889920.1
Xerocomellus_400	372|ITS|KY693968.1
Xerocomellus_401	champ_27|ITS|KX449432.1
Xerocomellus_402	mt50|ITS|KX168647.1
Xerocomellus_403	jlf3806|ITS|KU160180.1
Xerocomellus_404	ah38971|ITS|KU355482.1
Xerocomellus_405	ah38964|ITS|KU355481.1
Xerocomellus_406	ah45803|ITS|KU355480.1
Xerocomellus_407	ah45805|ITS|KU355479.1
Xerocomellus_408	ah45804|ITS|KU355478.1
Xerocomellus_409	ah44052|ITS|KU355477.1
Xerocomellus_410	ah44051|ITS|KU355476.1
Xerocomellus_411	ah44050|ITS|KU355475.1
Xerocomellus_412	ah44023|ITS|KU355474.1
Xerocomellus_413	ah38968|ITS|KU355473.1
Xerocomellus_414	wa0000052253|ITS|KX756438.1
Xerocomellus_415	KC952715.1|ITS|KC952715.1
Xerocomellus_416	KC952714.1|ITS|KC952714.1
Xerocomellus_417	KC952712.1|ITS|KC952712.1
Xerocomellus_418	KC952711.1|ITS|KC952711.1
Xerocomellus_419	KC952709.1|ITS|KC952709.1
Xerocomellus_420	KC952703.1|ITS|KC952703.1
Xerocomellus_421	KC952697.1|ITS|KC952697.1
Xerocomellus_422	KC952695.1|ITS|KC952695.1
Xerocomellus_423	KC952690.1|ITS|KC952690.1
Xerocomellus_424	KC952677.1|ITS|KC952677.1
Xerocomellus_425	vp_10|ITS|KT692929.1
Xerocomellus_426	mcve_28579|ITS|KT271751.1
Xerocomellus_427	mcve_28578|ITS|KT271750.1
Xerocomellus_428	mcve_28577|ITS|KT271749.1
Xerocomellus_429	mcve_28576|ITS|KT271748.1
Xerocomellus_430	mcve_28573|ITS|KT271747.1
Xerocomellus_431	mcve_28572|ITS|KT271746.1
Xerocomellus_432	mcve_28571|ITS|KT271745.1
Xerocomellus_433	mg_197a|ITS|KT271744.1
Xerocomellus_434	gs_10020|ITS|KT271743.1
Xerocomellus_435	mg_524a|ITS|KT220586.1
Xerocomellus_436	zt_13553|ITS|KT220585.1
Xerocomellus_437	gdgm_43238|ITS|KT220584.1
Xerocomellus_438	id_pan_196|ITS|KM085410.1
Xerocomellus_439	ma:fungi:47678|ITS|AJ419221.1
Xerocomellus_440	166_463|ITS|AB509781.1
Xerocomellus_441	151_103|ITS|AB509544.1
Xerocomellus_442	dg05_53|ITS|JQ888153.1
Xerocomellus_443	6b|ITS|HQ207695.1
Xerocomellus_444	6a|ITS|HQ207694.1
Xerocomellus_445	2b4|ITS|HQ207693.1
Xerocomellus_446	2b2|ITS|HQ207692.1
Xerocomellus_447	2b1|ITS|HQ207691.1
Xerocomellus_448	m_28|ITS|EU350582.1
Xerocomellus_449	m_32|ITS|EU350581.1
Xerocomellus_450	bb28_408_ah_210507_r57_dna942|ITS|HM190109.1
Xerocomellus_451	bb28_105_aeh_fa_230407_dna753|ITS|HM190108.1
Xerocomellus_452	bb06_105_of_pi_230407_dna750|ITS|HM190107.1
Xerocomellus_453	bb28_305_of_fa_070507_dna799|ITS|HM190106.1
Xerocomellus_454	bb28_109_oh_fa_230407_dna771|ITS|HM190105.1
Xerocomellus_455	bb06_109_oh_pi_230407_dna769|ITS|HM190104.1
Xerocomellus_456	bb22_104_of_pi_230407_dna742|ITS|HM190103.1
